,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-1310494000.0,641140000.0,875851000.0,-210546000.0,-1021300000.0,
Repurchase Of Capital Stock,-5050000.0,,,,,4282000.0
Repayment Of Debt,-694201000.0,-1109016000.0,-977514000.0,-693429000.0,-607819000.0,
Issuance Of Debt,301026000.0,1026069000.0,1033030000.0,1454740000.0,1313173000.0,
Issuance Of Capital Stock,59640000.0,914592000.0,,,2407000.0,0.0
Capital Expenditure,-825277000.0,-215788000.0,-173695000.0,-265547000.0,-868106000.0,
End Cash Position,921862000.0,2647586000.0,1720578000.0,1149612000.0,1253397000.0,
Beginning Cash Position,2647586000.0,1720578000.0,1149612000.0,1253397000.0,1979575000.0,
Changes In Cash,-1725724000.0,927008000.0,570966000.0,-103785000.0,-726178000.0,
Financing Cash Flow,-409480000.0,285875000.0,-36626000.0,107908000.0,312769000.0,
Net Other Financing Charges,-32647000.0,-105072000.0,-51365000.0,-57287000.0,-343596000.0,
Interest Paid Cff,,,,,-6890000.0,
Cash Dividends Paid,-130000.0,-396984000.0,-78000.0,-240928000.0,-321000.0,
Common Stock Dividend Paid,-130000.0,-396984000.0,-78000.0,-240928000.0,-321000.0,
Net Common Stock Issuance,54590000.0,914592000.0,0.0,4696000.0,2407000.0,
Common Stock Payments,-5050000.0,,,,,4282000.0
Common Stock Issuance,59640000.0,914592000.0,,,2407000.0,0.0
Net Issuance Payments Of Debt,-393175000.0,-82947000.0,55516000.0,761311000.0,705354000.0,
Net Long Term Debt Issuance,-393175000.0,-82947000.0,55516000.0,761311000.0,705354000.0,
Long Term Debt Payments,-694201000.0,-1109016000.0,-977514000.0,-693429000.0,-607819000.0,
Long Term Debt Issuance,301026000.0,1026069000.0,1033030000.0,1454740000.0,1313173000.0,
Investing Cash Flow,-831027000.0,-215795000.0,-441954000.0,-266694000.0,-885753000.0,
Net Investment Purchase And Sale,-5750000.0,1643000.0,114918000.0,-2447000.0,-16347000.0,
Sale Of Investment,,0.0,,,,
Purchase Of Investment,-5750000.0,1643000.0,-299000.0,-2447000.0,-16347000.0,
Net Business Purchase And Sale,0.0,-1650000.0,,,-1300000.0,
Purchase Of Business,0.0,-1650000.0,,,-1300000.0,
Net Intangibles Purchase And Sale,-1109000.0,-2480000.0,-1823000.0,-3427000.0,-2444000.0,
Purchase Of Intangibles,-1109000.0,-2480000.0,-1823000.0,-3427000.0,-2444000.0,
Net PPE Purchase And Sale,-824168000.0,-213308000.0,-171872000.0,-262120000.0,-865662000.0,
Sale Of PPE,,,,,,0.0
Purchase Of PPE,-824168000.0,-213308000.0,-171872000.0,-262120000.0,-865662000.0,
Operating Cash Flow,-485217000.0,856928000.0,1049546000.0,55001000.0,-153194000.0,
Taxes Refund Paid,-102711000.0,-16793000.0,-7957000.0,-28590000.0,-1779000.0,
Interest Paid Cfo,-242621000.0,-166540000.0,-217599000.0,-281308000.0,-102768000.0,
Change In Working Capital,-873512000.0,303450000.0,774422000.0,-182788000.0,-1035111000.0,
Change In Other Current Liabilities,-139000.0,139000.0,125760000.0,-125879000.0,15000.0,
Change In Other Current Assets,369888000.0,-201648000.0,340017000.0,81958000.0,-6733000.0,
Change In Payable,-1034122000.0,566336000.0,506618000.0,-212997000.0,-984601000.0,
Change In Prepaid Assets,-15802000.0,720000.0,18485000.0,-9367000.0,-8356000.0,
Change In Inventory,-50096000.0,-268947000.0,-150258000.0,90074000.0,109954000.0,
Change In Receivables,-143241000.0,206850000.0,-66200000.0,-6577000.0,-145390000.0,
Other Non Cash Items,149683000.0,624986000.0,459245000.0,-6398000.0,169195000.0,
Stock Based Compensation,3656000.0,4058000.0,3564000.0,5677000.0,1408000.0,
Provisionand Write Offof Assets,,221476000.0,-168790000.0,,,365272000.0
Deferred Tax,17622000.0,,,17027000.0,4666000.0,
Depreciation And Amortization,151620000.0,123509000.0,202707000.0,201437000.0,189201000.0,
Depreciation,151620000.0,123509000.0,202707000.0,201437000.0,189201000.0,
Pension And Employee Benefit Expense,41604000.0,6651000.0,9928000.0,27343000.0,22417000.0,
Gain Loss On Investment Securities,40648000.0,-99274000.0,69314000.0,151732000.0,-134245000.0,
Net Income From Continuing Operations,328795000.0,-144583000.0,-53590000.0,178014000.0,733840000.0,
