,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,7734015378.773495,3842984621.226505,3574000000.0,4969000000.0,3462856277.447015,,
Repurchase Of Capital Stock,,,0.0,0.0,0.0,0.0,0.0
Repayment Of Debt,-5228349534.839567,-3122650465.160433,-4056000000.0,-2764000000.0,-3308900470.396278,,
Issuance Of Debt,611842984.621227,1319157015.378773,5000000.0,2243000000.0,2549703910.711496,,
Capital Expenditure,-4565829504.461743,-4506170495.538257,-6588000000.0,-4887000000.0,-4002154206.661922,,
End Cash Position,6483000000.0,6511106891.968863,6471000000.0,8964000000.0,6996000000.0,,
Beginning Cash Position,6511106891.968863,6760584773.115626,8964000000.0,6996000000.0,4679661870.128968,,
Effect Of Exchange Rate Changes,390348775.393962,-289348775.393962,-82000000.0,95000000.0,350419798.302408,,
Changes In Cash,-128870894.2472,39870894.2472,-2411000000.0,1873000000.0,2210566384.891774,,
Financing Cash Flow,-6704388456.426808,-4737611543.573192,-6027000000.0,-3218000000.0,-2703014545.833261,,
Cash Flow From Continuing Financing Activities,-6704388456.426808,-4737611543.573192,-6027000000.0,-3218000000.0,-2703014545.833261,,
Net Other Financing Charges,-74818682.361876,-135181317.638124,-35000000.0,-132000000.0,109336515.59598,,
Interest Paid Cff,-480860072.147332,-589139927.852668,-445000000.0,-535000000.0,-344292166.42655,,
Cash Dividends Paid,-1532203151.69926,-2209796848.30074,-1496000000.0,-2030000000.0,-1708862335.317908,,
Common Stock Dividend Paid,,,,,-1706000000.0,,
Net Preferred Stock Issuance,,,,,,0.0,
Preferred Stock Payments,,,,,,0.0,
Net Common Stock Issuance,,,,0.0,0.0,,0.0
Common Stock Payments,,,,0.0,0.0,,0.0
Net Issuance Payments Of Debt,-4616506550.218341,-1803493449.781659,-4051000000.0,-521000000.0,-759196559.684782,,
Net Long Term Debt Issuance,-4616506550.218341,-1803493449.781659,-4051000000.0,-521000000.0,-759196559.684782,,
Long Term Debt Payments,-5228349534.839567,-3122650465.160433,-4056000000.0,-2764000000.0,-3308900470.396278,,
Long Term Debt Issuance,611842984.621227,1319157015.378773,5000000.0,2243000000.0,2549703910.711496,,
Investing Cash Flow,-5724327321.055629,-3571672678.944371,-6546000000.0,-4765000000.0,-2551429553.383902,,
Cash Flow From Continuing Investing Activities,-5724327321.055629,-3571672678.944371,-6546000000.0,-4764000000.0,-2551429553.383902,,
Net Other Investing Changes,103769698.120372,561230301.879628,59000000.0,75000000.0,-11151099.616393,,
Dividends Received Cfi,69291247.389406,1708752.610594,23000000.0,80000000.0,17188991.685616,,
Net Investment Purchase And Sale,-1299696031.896715,402696031.896715,-46000000.0,-31000000.0,1446513183.246255,,
Purchase Of Investment,,,,-31000000.0,,,1070000000.0
Net Business Purchase And Sale,-31862730.206949,-31137269.793051,6000000.0,-2000000.0,-1826422.037458,,
Purchase Of Business,,,,-2000000.0,-2000000.0,0.0,-9000000.0
Net PPE Purchase And Sale,-4565829504.461743,-4506170495.538257,-6588000000.0,-4887000000.0,-4002154206.661922,,
Purchase Of PPE,-4565829504.461743,-4506170495.538257,-6588000000.0,-4887000000.0,-4002154206.661922,,
Operating Cash Flow,12299844883.235237,8349155116.764762,10162000000.0,9856000000.0,7465010484.108938,,
Cash Flow From Continuing Operating Activities,12299844883.235237,8349155116.764762,10162000000.0,9856000000.0,7465010484.108938,,
Taxes Refund Paid,-3174164609.834821,-1800835390.165179,-1338000000.0,-882000000.0,-1082366058.565205,,
Change In Working Capital,-4128421872.033416,-1865578127.966584,267000000.0,-1839000000.0,-1762859939.942025,,
Change In Other Working Capital,-1753131953.673818,-1084868046.326182,-234000000.0,-339000000.0,-962011838.017045,,
Change In Other Current Liabilities,-121639643.060566,493639643.060566,-741000000.0,-80000000.0,20899810.800021,,
Change In Other Current Assets,781451300.550598,-669451300.550598,199000000.0,-135000000.0,-205376837.756678,,
Change In Payables And Accrued Expense,-654809379.153218,411809379.153218,737000000.0,-382000000.0,-87415823.367065,,
Change In Payable,-654809379.153218,411809379.153218,737000000.0,-382000000.0,-87415823.367065,,
Change In Account Payable,-774638314.030758,-285361685.969242,1208000000.0,-58000000.0,484905625.661766,,
Change In Tax Payable,119828934.877539,697171065.122461,-471000000.0,-324000000.0,-572321449.028831,,
Change In Income Tax Payable,119828934.877539,697171065.122461,-471000000.0,-324000000.0,-572321449.028831,,
Change In Inventory,-422947977.976077,-778052022.023923,303000000.0,-307000000.0,-483973251.635972,,
Change In Receivables,-1957344218.720334,-238655781.279666,3000000.0,-596000000.0,-44981999.965284,,
Other Non Cash Items,475267704.57566,229732295.42434,-576000000.0,469000000.0,990163336.862752,,
Provisionand Write Offof Assets,,-8164040.250617,41000000.0,2000000.0,56440731.80469,-19440731.80469,
Asset Impairment Charge,-184138219.100057,16138219.100057,1767000000.0,-273000000.0,247359289.024665,,
Deferred Tax,3628019555.724321,3108980444.275679,80000000.0,2230000000.0,1587828973.633507,,
Deferred Income Tax,3628019555.724321,3108980444.275679,80000000.0,2230000000.0,1587828973.633507,,
Depreciation Amortization Depletion,4270335674.957281,4103664325.042719,4092000000.0,4111000000.0,3650184582.805367,,
Depreciation And Amortization,,,7598000000.0,605000000.0,3697000000.0,3247000000.0,5857000000.0
Amortization Cash Flow,,,42000000.0,40000000.0,43000000.0,29000000.0,34000000.0
Amortization Of Intangibles,,,42000000.0,40000000.0,43000000.0,29000000.0,34000000.0
Depreciation,,,7556000000.0,565000000.0,3654000000.0,3218000000.0,5823000000.0
Operating Gains Losses,968831972.659958,-1654831972.659958,2914000000.0,-15000000.0,-841057436.947805,,
Pension And Employee Benefit Expense,563363204.860452,538636795.139548,452000000.0,448000000.0,424164083.247991,,
Earnings Losses From Equity Investments,-102937345.737612,-10062654.262388,217000000.0,-36000000.0,-43078908.541772,,
Net Foreign Currency Exchange Gain Loss,135082589.709512,-1695082589.709512,2183000000.0,-417000000.0,-1157044262.380448,,
Net Income From Continuing Operations,10435950636.035694,6220049363.964306,2915000000.0,6053000000.0,4619317005.43299,,
